,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
0,GRANDMASTER,MmKonMy0Q0w8pfK_umWCa1X1kGgVfbADErDkKCmTuXmVtUI,룰보러니,657,566,596,False,False,False,False,oS6CuVdzFYND_yek1V8ZKuirfl9fAXYaOImzfJI4KlxjMXA
1,GRANDMASTER,7OmaS3y3Zyp2nlFWNTJ9rzN1F1rVsFFXNp2WcQTqkjvn_BI,Joo Hyun Park,577,670,630,False,False,False,False,a9d33xW2czzWZUVI6orYd-H2uLqBO-9BHGeWd5eSSP_Unlo
2,GRANDMASTER,dnBmX6YG9G2_uOReYdUv7SYO8RfpOZaPgK4p-a2yaTq84pE,liuyanyi,284,477,455,False,False,True,False,Q7FZ1GiBnUaCW6r0D4n4hRh_hWJtdi2eCpSbQ21f8UrNBvqmwepxcpQa
3,GRANDMASTER,lPUIxRaDKI6MD8HoL54rSM8jhGdaBr_oa2_egXU_DOe8iA,K tune,409,316,282,False,False,False,False,r-mePJC6lnhxvBWoYcKWcsf9Y965q7ywVy-cyMcrhOVj
4,GRANDMASTER,HT_P3PZcCWmBGT0VkFDv-XQF_9Ncr5f8juXDenqH6fjV22A,Heg y1,534,344,264,False,False,True,True,5QAxHClYaq7LATU-MSOLdhkii0hTZ458G9SWIzRms8MXxcFaKvvJqAsB
5,GRANDMASTER,xTdNvRHhf-xSREH_vhcxmtr33Oj5Hxcj5MR18NsVey1Yk5I,마이티베어,278,367,315,False,False,True,False,3qpp0EcPtAwY7hfYKEDCmVrf6aozqTcIRIscF9wsCBDIEi4
6,GRANDMASTER,JBIbrSkEOyblIgeHkbyEKk1oFrv_i8gy5Y7nOSUm7Lkxs1U,박고 보기,320,135,125,False,False,False,False,Rxm_n1zT7LV40m1Gf8Y-b31qSChCmLiXfQcsgGn93XVSJ5eKqfJcjcPP
7,GRANDMASTER,UFEn-5RGo-oGWean-k0JFPvzfhIe6bQHwGIjGmAvQfvFaGc,많이바쁜가,516,617,521,False,False,True,False,NIml3l91QSQ604-tbPNrU7iIubXXK-NTiswrEAGHSjOAwI7up2DerFC8
8,GRANDMASTER,tpLd9-sYcRk9yp3EGeYrcr911YSIaQfwrQPKG91h-Q9HbQ,도인비의스펠체크,379,459,437,True,False,False,False,f9_wyRwmTu2QFIOYQNdtDv8axNw_U219JS23viedSSKK
9,GRANDMASTER,CHMBQnN9mNL1U0WCtYP53VhWu6SdDA087dxZnncI18cLiyc,귀여운 현우,311,193,172,False,False,False,False,uv-iCUamLU_KA3rIhXlzmphG8zKwg_Dg-dYpoNM5t-vULE0
10,GRANDMASTER,KfV06vBRkd5-mBoecfmlc3yermX6Ntf1guVW37bE-oXKz1s,DreamAtDawn,338,418,341,False,False,False,False,qjDYngzafZivrGFzlZ5_VkBVsZ03D99OsUGtPcvK1Xq73dRnrPMnV8dp
11,GRANDMASTER,BZirLsL6GOW2reTOi3wAhVagAXvu7FocF_dZ6U1z56srt-M,BRB Prep,628,323,292,False,False,False,True,wlU880pc8C7kiuGFy9Ib8gMt2VysoVbjfEInJmow8-ExoeY
12,GRANDMASTER,_x7Y_NnKitYyc9dmKkFWVdS9WUWR0qSsUssyO2OV7xiBcYU,러브 이정현,605,411,382,False,False,False,False,C3Q19BwxPm5pL65gacsnQaYXlm_0SzoRg9RqfaVpHJAWUFICcfg9VEEx
13,GRANDMASTER,RypaFjjmVI3BpTB41IVOuJcWukwDcf3BLkHCADvoHzdYZRk,ffffffllllll,463,440,424,False,False,False,False,Y9tFPbGCaQA1rc4Qnr5f3aDmLY4VCW-vcIwIP4sFNluAJXe93osiXIsw
14,GRANDMASTER,C_CNfvXr0VZARh0R8rcHangrLr0AfUc_ykYQN0urJB0pNCI,시오리의 엘,489,124,84,False,False,False,False,aVMVZH8qPKpiTwUpYtQI7GXBtbIAz_NvjyjPsFt7ZMuUhIs
15,GRANDMASTER,CxQ76839l2qaP_pB3cHtwa4-WEx84tLrhFovJdvMpzLIjtU,supsupsupsupgap,476,628,580,True,False,False,False,sWcpW1wh7MvgnyirS2HSIIbxhlyMayZsrfnsb_JKNRC6QZBMc7AcEHxu
16,GRANDMASTER,eBT6OjTbA2SwMwsEJsPQApd8cWdhyRPxXgEdMz7ZTiImXGg,By myse1f,620,160,127,True,False,False,False,QBzCummVhpD9pfbEdFFFPofkmovRtYs6QecL-ulrN0ek6a8
17,GRANDMASTER,T6L_MNSTxL5Ozy6vCBQW3XYfl0Z_TqqY3RIG8GchDomrdW4,Gen G Wize,617,683,667,True,False,False,True,l_nsCjUR9n_IQvd2i3S_YDLrBbBZmWcVcl0IclTW97Br6T9LvxgLcf8W
18,GRANDMASTER,0bEK9JokxOu55Kuj6cj670GMOHEfn53MSWLrBcWgkY2qYj0,why me so cool,368,344,315,False,False,True,False,ugIeVr7_EuSVmEs_8CF4H-CQetqRajGLYjFnaXfOuGsvSOw2yi47L875
19,GRANDMASTER,-e2bd-5t5SkOx3AWelCfk8WYdAsAHNdlbH4Les72zd_9IX4,jljljk,471,312,279,True,False,False,False,NdOZoqxw1lcSECBRW5koPfcXBQRv_5I5bud7vqTl8V0H-fs
