,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4462063081,104,700,13,1592735502490,NONE,JUNGLE
1,KR,4460686198,245,420,13,1592676711898,DUO_SUPPORT,NONE
2,KR,4459894479,48,420,13,1592659575519,NONE,JUNGLE
3,KR,4459598279,64,420,13,1592651827668,NONE,JUNGLE
4,KR,4459531779,76,420,13,1592649355956,NONE,JUNGLE
0,KR,4459877692,57,420,13,1592660449894,NONE,JUNGLE
1,KR,4459880410,22,420,13,1592658387718,DUO_CARRY,BOTTOM
2,KR,4459730398,21,420,13,1592655407892,DUO_CARRY,BOTTOM
3,KR,4459644962,81,420,13,1592653676649,DUO_CARRY,BOTTOM
4,KR,4459598279,412,420,13,1592651827668,DUO_SUPPORT,BOTTOM
0,KR,4462470981,134,420,13,1592746645496,DUO_CARRY,MID
1,KR,4462366201,38,420,13,1592745217878,DUO_SUPPORT,NONE
2,KR,4462278197,38,420,13,1592742888726,SOLO,MID
3,KR,4462201166,38,420,13,1592740357664,DUO,TOP
4,KR,4462133809,246,420,13,1592738599585,SOLO,MID
0,KR,4461861754,432,420,13,1592728357305,DUO_SUPPORT,BOTTOM
1,KR,4461504054,432,420,13,1592725921183,SOLO,BOTTOM
2,KR,4461334774,432,420,13,1592723221044,DUO_SUPPORT,BOTTOM
3,KR,4454458969,57,450,13,1592414766687,DUO_SUPPORT,NONE
4,KR,4454427953,45,450,13,1592413941921,DUO_SUPPORT,NONE
0,KR,4460551909,517,420,13,1592670188935,DUO_SUPPORT,NONE
1,KR,4460465676,517,420,13,1592668007275,NONE,JUNGLE
2,KR,4459936732,245,420,13,1592660272514,NONE,JUNGLE
3,KR,4459718934,64,420,13,1592657849950,NONE,JUNGLE
4,KR,4459712134,517,420,13,1592655816173,NONE,JUNGLE
0,KR,4462383086,48,420,13,1592744347564,DUO_SUPPORT,TOP
1,KR,4462232179,76,420,13,1592741097759,NONE,JUNGLE
2,KR,4462134647,64,420,13,1592738846083,NONE,JUNGLE
3,KR,4462101236,30,420,13,1592737360133,DUO_SUPPORT,NONE
4,KR,4462083660,245,420,13,1592735491738,DUO_SUPPORT,NONE
0,KR,4453228061,412,420,13,1592378440057,DUO_SUPPORT,BOTTOM
1,KR,4452373570,350,450,13,1592318173977,DUO_SUPPORT,NONE
2,KR,4449914001,76,430,13,1592221334207,NONE,JUNGLE
3,KR,4448707732,3,420,13,1592150504122,DUO_SUPPORT,NONE
4,KR,4440755865,412,420,13,1591862573654,DUO_SUPPORT,BOTTOM
0,KR,4460268540,126,420,13,1592663652302,SOLO,TOP
1,KR,4458996658,84,420,13,1592631335481,SOLO,MID
2,KR,4458677185,266,420,13,1592627376966,NONE,JUNGLE
3,KR,4457732255,429,450,13,1592574149315,DUO,TOP
4,KR,4456602950,114,420,13,1592543874006,NONE,JUNGLE
0,KR,4462300773,12,420,13,1592743167880,SOLO,BOTTOM
1,KR,4462233212,412,420,13,1592741382001,DUO_SUPPORT,BOTTOM
2,KR,4461787547,43,420,13,1592730072035,DUO_SUPPORT,NONE
3,KR,4461325454,875,420,13,1592723350955,DUO_SUPPORT,BOTTOM
4,KR,4461228296,412,420,13,1592721218858,SOLO,BOTTOM
0,KR,4459312867,350,420,13,1592642745056,DUO_SUPPORT,TOP
1,KR,4458917115,53,420,13,1592631193576,DUO_SUPPORT,BOTTOM
2,KR,4458026202,35,420,13,1592584553664,DUO_SUPPORT,BOTTOM
3,KR,4457959848,350,420,13,1592582308792,DUO_SUPPORT,BOTTOM
4,KR,4457837860,432,420,13,1592578568726,DUO_SUPPORT,BOTTOM
0,KR,4459749441,126,420,13,1592658103619,DUO_SUPPORT,NONE
1,KR,4459782149,4,420,13,1592656082256,SOLO,MID
2,KR,4459682881,60,420,13,1592653228378,NONE,JUNGLE
3,KR,4459554405,412,420,13,1592650404404,SOLO,BOTTOM
4,KR,4459510499,517,420,13,1592648889939,DUO_CARRY,NONE
0,KR,4462365232,523,430,13,1592744843681,DUO,NONE
1,KR,4462298394,107,430,13,1592742932955,NONE,JUNGLE
2,KR,4462060306,120,420,13,1592734328609,NONE,JUNGLE
3,KR,4461839786,517,420,13,1592730910095,NONE,JUNGLE
4,KR,4461757009,875,430,13,1592729358816,DUO_SUPPORT,NONE
0,KR,4462375543,555,420,13,1592745046563,DUO_SUPPORT,BOTTOM
1,KR,4461777239,875,420,13,1592729968921,DUO_SUPPORT,BOTTOM
2,KR,4460513062,432,420,13,1592670337635,DUO_SUPPORT,BOTTOM
3,KR,4460472213,523,450,13,1592666903227,DUO,NONE
4,KR,4459829680,875,420,13,1592660639550,DUO_SUPPORT,BOTTOM
0,KR,4449782421,84,420,13,1592214159330,SOLO,MID
1,KR,4449657043,62,420,13,1592211488216,SOLO,TOP
2,KR,4449569012,62,420,13,1592208196074,SOLO,TOP
3,KR,4449564406,62,420,13,1592206251055,DUO_CARRY,TOP
4,KR,4444632585,164,420,13,1592026620673,SOLO,TOP
0,KR,4460765962,245,420,13,1592687462322,NONE,JUNGLE
1,KR,4460793461,121,420,13,1592683586870,NONE,JUNGLE
2,KR,4459730398,82,420,13,1592655407892,SOLO,TOP
3,KR,4459312143,30,420,13,1592642442078,NONE,JUNGLE
4,KR,4459215825,245,420,13,1592640460951,NONE,JUNGLE
0,KR,4462227984,875,420,13,1592742742293,DUO_SUPPORT,NONE
1,KR,4462137815,412,420,13,1592739806696,DUO_SUPPORT,BOTTOM
2,KR,4462181762,875,450,13,1592737887725,NONE,JUNGLE
3,KR,4462038002,39,430,13,1592736667460,DUO,NONE
4,KR,4462062803,875,430,13,1592734988835,DUO_SUPPORT,MID
0,KR,4461358914,76,420,13,1592724403013,NONE,JUNGLE
1,KR,4461342072,60,420,13,1592722368818,NONE,JUNGLE
2,KR,4461206176,875,420,13,1592720229484,DUO_SUPPORT,BOTTOM
3,KR,4460454290,76,420,13,1592667557278,NONE,JUNGLE
4,KR,4460301376,30,430,13,1592663910240,SOLO,MID
0,KR,4462325489,120,420,13,1592744959505,NONE,JUNGLE
1,KR,4462216913,60,420,13,1592742404418,NONE,JUNGLE
2,KR,4462078097,104,420,13,1592736833985,NONE,JUNGLE
3,KR,4462053768,76,420,13,1592735453065,DUO_SUPPORT,NONE
4,KR,4461977457,120,420,13,1592733454761,NONE,JUNGLE
0,KR,4462383086,412,420,13,1592744347564,DUO_SUPPORT,MID
1,KR,4462258663,497,420,13,1592743025047,DUO_SUPPORT,NONE
2,KR,4462291070,875,420,13,1592740999863,NONE,JUNGLE
3,KR,4462166540,432,420,13,1592739474583,DUO_SUPPORT,NONE
4,KR,4462101236,111,420,13,1592737360133,DUO_SUPPORT,NONE
0,KR,4462063081,6,700,13,1592735502490,SOLO,TOP
1,KR,4457240655,106,420,13,1592560592407,DUO_SUPPORT,NONE
2,KR,4452298800,126,420,13,1592317078631,NONE,JUNGLE
3,KR,4450630537,82,420,13,1592232898969,DUO_SUPPORT,NONE
4,KR,4450462246,126,420,13,1592230272166,DUO_SUPPORT,NONE
0,KR,4456185047,142,420,13,1592496339538,NONE,JUNGLE
1,KR,4456009273,4,420,13,1592493490558,SOLO,MID
2,KR,4453819742,134,420,13,1592401969374,SOLO,MID
3,KR,4453709832,142,420,13,1592398738041,SOLO,MID
4,KR,4453721247,127,420,13,1592396012581,DUO_SUPPORT,NONE
0,KR,4462397301,81,420,13,1592745653343,DUO,NONE
1,KR,4462353058,81,420,13,1592744292547,DUO_SUPPORT,NONE
2,KR,4462278458,22,420,13,1592742962588,DUO_SUPPORT,NONE
3,KR,4462243916,157,420,13,1592741626338,DUO_SUPPORT,NONE
4,KR,4462119274,523,420,13,1592740136937,DUO_SUPPORT,NONE
0,KR,4462328569,3,420,13,1592745798537,SOLO,MID
1,KR,4461470232,126,420,13,1592724767617,SOLO,TOP
2,KR,4461269704,39,420,13,1592721732953,DUO_SUPPORT,NONE
3,KR,4461225547,266,420,13,1592720385197,DUO_SUPPORT,NONE
4,KR,4461159909,3,420,13,1592718660580,SOLO,MID
0,KR,4456433479,117,420,13,1592531038668,SOLO,MID
1,KR,4456481135,43,420,13,1592529085131,SOLO,MID
2,KR,4456410791,43,420,13,1592527725508,DUO_SUPPORT,NONE
3,KR,4456327332,43,420,13,1592523276496,DUO_SUPPORT,NONE
4,KR,4456355972,235,420,13,1592521045463,DUO_SUPPORT,BOTTOM
0,KR,4454518084,4,420,13,1592425858091,DUO_SUPPORT,NONE
1,KR,4454506688,21,420,13,1592422918053,DUO_CARRY,BOTTOM
2,KR,4449024066,429,420,13,1592162051492,DUO,NONE
3,KR,4449051344,145,420,13,1592159914773,SOLO,TOP
4,KR,4448947711,110,420,13,1592156728610,DUO_CARRY,BOTTOM
0,KR,4462360776,126,420,13,1592743639091,DUO,MID
1,KR,4462162710,875,700,13,1592738623109,SOLO,TOP
2,KR,4462063435,875,700,13,1592735669451,SOLO,TOP
3,KR,4461980162,76,440,13,1592730989805,DUO_SUPPORT,NONE
4,KR,4461865037,203,440,13,1592729423669,NONE,JUNGLE
0,KR,4456120138,114,420,13,1592494088813,SOLO,TOP
1,KR,4453658352,523,430,13,1592394995795,DUO_CARRY,BOTTOM
2,KR,4452262875,86,450,13,1592314550778,DUO_SUPPORT,NONE
3,KR,4452107468,29,450,13,1592313067995,DUO_SUPPORT,TOP
4,KR,4451804221,523,430,13,1592308765400,DUO_CARRY,BOTTOM
0,KR,4462000027,266,450,13,1592733563105,DUO_SUPPORT,NONE
1,KR,4460712027,60,420,13,1592681102377,NONE,JUNGLE
2,KR,4460679039,64,420,13,1592678715887,NONE,JUNGLE
3,KR,4460222292,64,420,13,1592661748577,DUO_SUPPORT,NONE
4,KR,4459875980,245,420,13,1592659948901,NONE,JUNGLE
0,KR,4462422249,57,420,13,1592746863008,DUO_SUPPORT,NONE
1,KR,4462314589,57,420,13,1592744619215,SOLO,TOP
2,KR,4462285042,57,420,13,1592741997653,SOLO,TOP
3,KR,4462157930,57,430,13,1592739745269,SOLO,BOTTOM
4,KR,4462077433,154,430,13,1592736537862,NONE,JUNGLE
0,KR,4459422810,80,420,13,1592646097329,SOLO,TOP
