,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,gameId,ban1,ban2,ban3,ban4,ban5
0,100,Win,False,True,True,False,True,True,6,1,0,1,0,1,0,"[{'championId': 134, 'pickTurn': 1}, {'championId': 41, 'pickTurn': 2}, {'championId': 81, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': 110, 'pickTurn': 5}]",4460686198,134,41,81,-1,110
1,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,"[{'championId': 104, 'pickTurn': 6}, {'championId': 68, 'pickTurn': 7}, {'championId': 350, 'pickTurn': 8}, {'championId': 43, 'pickTurn': 9}, {'championId': 126, 'pickTurn': 10}]",4460686198,104,68,350,43,126
0,100,Win,False,True,False,True,False,True,4,0,1,1,0,1,0,"[{'championId': 432, 'pickTurn': 1}, {'championId': 110, 'pickTurn': 2}, {'championId': 62, 'pickTurn': 3}, {'championId': 104, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",4459894479,432,110,62,104,350
1,200,Fail,True,False,False,False,True,False,3,0,0,2,0,1,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 421, 'pickTurn': 8}, {'championId': 4, 'pickTurn': 9}, {'championId': 429, 'pickTurn': 10}]",4459894479,134,875,421,4,429
0,100,Fail,False,False,False,False,True,False,1,0,0,2,0,1,0,"[{'championId': 875, 'pickTurn': 1}, {'championId': 114, 'pickTurn': 2}, {'championId': 58, 'pickTurn': 3}, {'championId': 60, 'pickTurn': 4}, {'championId': 81, 'pickTurn': 5}]",4459598279,875,114,58,60,81
1,200,Win,True,True,True,True,False,True,8,1,1,1,0,1,0,"[{'championId': 134, 'pickTurn': 6}, {'championId': 110, 'pickTurn': 7}, {'championId': 81, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 875, 'pickTurn': 10}]",4459598279,134,110,81,-1,875
0,100,Fail,True,False,False,False,False,False,2,0,0,0,0,1,0,"[{'championId': 523, 'pickTurn': 1}, {'championId': 126, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 875, 'pickTurn': 4}, {'championId': 2, 'pickTurn': 5}]",4459531779,523,126,-1,875,2
1,200,Win,False,True,True,True,True,True,9,1,1,3,0,1,0,"[{'championId': 80, 'pickTurn': 6}, {'championId': 421, 'pickTurn': 7}, {'championId': 104, 'pickTurn': 8}, {'championId': 110, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",4459531779,80,421,104,110,350
0,100,Fail,False,False,False,False,False,True,2,0,0,0,0,1,0,"[{'championId': -1, 'pickTurn': 1}, {'championId': 104, 'pickTurn': 2}, {'championId': 350, 'pickTurn': 3}, {'championId': 110, 'pickTurn': 4}, {'championId': 142, 'pickTurn': 5}]",4459877692,-1,104,350,110,142
1,200,Win,True,True,False,False,True,False,4,0,0,2,0,0,0,"[{'championId': 110, 'pickTurn': 6}, {'championId': 875, 'pickTurn': 7}, {'championId': 62, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 60, 'pickTurn': 10}]",4459877692,110,875,62,350,60
