,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,GRANDMASTER,g37ymd1Txat8OjTu33xpEVNH52_nmsq-e7J6xLXWtXeRlKo,BRO Listo,404,462,444,False,False,False,False
1,GRANDMASTER,KanOEuXetxzlSr7kYEMFRXhmXz67ZGCiqmmk8wLmarO_d_U,Liiv DDahyuk,512,526,502,True,False,False,False
2,GRANDMASTER,ZmYqR9ZyDaOaO6qmBQVJRACdtQlXnqYk5rYtWr9hf1YHYA,WhtWht,367,437,404,True,False,False,False
3,GRANDMASTER,hibNlOAUJjhgqiQz3WPLy2T5Jg-aQQOPgLBswgfguy2vDQ,BigFour44,599,483,443,False,False,True,False
4,GRANDMASTER,FZsJS6F-Ni1ayS5edkBaXts8_ROfoc6iFoRNtzup9sXXVCbQY2Oi62KGgQ,yang zhi bu ou,696,529,458,False,False,True,True
5,GRANDMASTER,E1Ei27jkTihxtnLzGDT7hr3IBvK4RA8_IyNgrUPYpXVcmg,나는 몽키 D 짱구,723,380,339,True,False,False,False
6,GRANDMASTER,pfvMykZDLYehFeuSer8bDfGeMxxzUHwP4zQMkLoXXkUy984,NEED HER,408,275,240,False,False,True,False
7,GRANDMASTER,fM7bvshGR9ymkvzhV9euC9bFrbjNPJMENeAosB_G-n5w-Hk,차갑지않은사람,604,520,483,True,False,False,False
8,GRANDMASTER,t4dTiqVYDkuDQ3si7lFr56KZZijIlzKZqvJIFn7nfvHlpWA,트위치 라쿤99,628,200,163,False,False,False,False
9,GRANDMASTER,RSMLDHgoh3pYD295AOpgRbwVXe53fJaP0CylKhmCRuxKdiqF,TWITCH ggbb528,423,494,395,False,False,True,True
10,GRANDMASTER,FJHYTdvjW-od6kT0pN-OWuZdFMt7vEOjTSqx6Uki7bGKDm4,Gaojianguo,594,751,718,False,False,True,False
11,GRANDMASTER,69CVq_8X0R_YBo0Cr1SQ3UoFdDwEqipsc8uQcZ5B3nKp9tfEKK9Slm44DQ,ayulsalriy,591,681,652,True,False,False,False
12,GRANDMASTER,m2wG1yScA9rjoT2olRSEZt2rjv0MnrjsGnfdMWcJiMtFuA46VX-uWD-bpw,너 보다 뛰어나다,370,319,272,False,False,True,False
13,GRANDMASTER,HILtmlLw8rKopTOkjfQGwOLWSieHN9unttLPWevAm8BlnN8,소중함을잊은사람,373,378,343,True,False,False,False
14,GRANDMASTER,ySMmJwSLN1oKLlFtGt59N5y3usl-VGXoo6Z-54JVxJfpwzDLk6cdbnFpbw,way you do,346,655,614,False,False,True,False
15,GRANDMASTER,mF7yJSn03KaLvcmgoUxpO13FLmjaydZ0hMTWVXUZ9oEOhV_cEs6fClf3IQ,T1 Zika,710,432,375,True,False,False,False
16,GRANDMASTER,Y1jT5Y0g3hvpXiLaCwMMlv1NBwstP5KlHqUCMvlbgj6bXys,불다이아123,385,91,68,False,False,False,False
17,GRANDMASTER,11VXogAHZGBj8lmyF19GN8JEJ5WyIoQ22qYZAN2elypxo7raR-D6owq2UQ,qeawasdasd1,448,82,54,False,False,False,False
18,GRANDMASTER,mXwjjw41dTv6Ueqq0eE1SjnlRtYMzRoyVxlY2isr23nZXc61MfwluoWRvg,Pummel Party,657,137,84,False,False,False,False
19,GRANDMASTER,TDxPK6iKGEaX1E6FbVnX7R2I1pZWMShD-1i60JCZ2Gga50o,Savage,367,764,732,False,False,True,False
20,GRANDMASTER,fq2T72Tikk6pqluH8gEbODDi62o5qGd6waP2UB3xk1kzBsI,드레이븐원챔6,366,234,193,True,False,False,False
21,GRANDMASTER,9zSIJfksmEVw0_nrYcOlwEFWKWAPc7Pt_c4z11v0xUv5AVQ,Deadly,539,349,310,False,False,False,True
22,GRANDMASTER,az6D4tUWNl8BNXdIYlhq8nhcqCBOJHgKPydL8CPq56P0VCEPRHO25j1hnQ,asdfdfewdv,636,325,287,False,False,False,True
23,GRANDMASTER,OxJKv9RSN_Dccx2izfGpx2rzsuHmB-GceG-eugeAeWlp6Xo0ULpqUEOJrg,목표를향해달려,612,191,154,False,False,True,False
24,GRANDMASTER,L0XYSXJqpLawt6hFxVeMDpIucDJ0Rxt7DheoJ8o7aoSwLjpZsZsy7k_rtw,loucunren,491,129,83,False,False,False,False
25,GRANDMASTER,OElxYphXYcOteRsaDDBdWXIQQhjzUFVCJjdAF9BXLBjyYoqTO1mCTA9Wig,몽키 바나나1,425,373,327,False,False,True,True
26,GRANDMASTER,K1cc71sAlyPJLFp339XbQoF2sPbMqKI7g5VXUUID4bqrRw,StephanFelix2,546,754,720,False,False,True,True
27,GRANDMASTER,d0Yhlujmkx4HYeBzzCEvqu5fHc_f2vWlu2q8IEtInoABKpo,Gen G Basic,403,594,564,True,False,False,False
28,GRANDMASTER,W_OOSHJArDJ-ZLvPnMPcCvmc8YQFcmW3MtJiX8P-buBuow,No chat JG,698,222,189,False,False,False,False
29,GRANDMASTER,b089xMcbMFzflV8vhi42fnBJrCj-4GQ4ayimYMSp868_O_oEycsiDbmBtw,youraa,658,239,182,True,False,False,False
30,GRANDMASTER,Fo-WsE-ABtMba_LDd5mELUbMfGoteWLZROgnzOBePuLEcKQ,레넥톤 장인,393,356,331,False,False,True,False
31,GRANDMASTER,KLBaiQ5fWtyNmJ1xm8bWJ-Cb5SY8cj1MfcGzq5MLDo1JQlg,springs2,693,132,93,True,False,False,False
32,GRANDMASTER,o-GV-U4htTELMpbuez_eyrQNFL3iB6-xTTuoh4t2I0EUcQM,뭉강밍,543,136,108,False,False,True,False
33,GRANDMASTER,E_dFayM0I6DTQdpUW-G79NuLXEBYBTQzEjvU6DgiAfksO1I,미스틱샷,706,459,420,True,False,False,False
34,GRANDMASTER,LNvFw6I45Uq8mR2zkcau3n8himq3LsSSXDWo7ieMzJ89Be0StCqJJ6KvDQ,wushuo,426,453,425,False,False,False,False
35,GRANDMASTER,-eW6YN6tUY8Ktaw5_RQPp9AMTBB5_ccMUF981AKd1w7KEEjPzWdl5fRQgw,호랑이석사,671,381,333,True,False,False,False
36,GRANDMASTER,G4nSP5CswHEJ6ayouwyBoCIaP4LPPhRVgkav5b2P7jBz56s,성모님의군대,504,422,389,False,False,True,False
37,GRANDMASTER,9-ekihc2VvvqvE4CTgM1bvLn6T6RqZWWOtCBtbot4q7gsDQ,Destiny,733,371,338,False,False,True,False
38,GRANDMASTER,mi4wY9McNF0onzlwa3XCuJsGBM2WrVrT7INbiree_2V54BM,무인데용,532,392,357,True,False,False,False
39,GRANDMASTER,cRWd6jOdgZF4rdHnQB4bTDxGvIn8Cj9qdXwVLx5NhleMY0A,liiiiliiiiiill,606,339,314,True,False,False,False
40,GRANDMASTER,gSqFei7JFGd6VHWQMrTh2phV6z-LGnY3QUq9bwzYozVIrcO6,임도완최은정,520,535,490,False,False,True,False
41,GRANDMASTER,-6wDtRpk-WTmHOg2nCZp0fj2petXUR0iDU2T1CxFiGnttdCW2bFIqGLWgw,royal fluse,670,265,238,False,False,False,False
42,GRANDMASTER,7ZWoUP37OVjTI_nW3ZSKBY0388wUmoLIB0LM4uMZPg-1ttCz,재훈이의 모함,678,538,501,False,False,True,False
43,GRANDMASTER,8qKcTFQUzDCmam9AJRnVyVC2tVRPFBNbgHQCggRA6VNc3_A,팀운의 사나이,403,1192,1178,False,False,True,False
44,GRANDMASTER,9hA7r9vLHh19uxVEfKWODkNrKSOZ-WZNe17tBafrwizfh-su,like cs,664,104,61,False,False,True,True
45,GRANDMASTER,HxRWxqdB39tQFy7ixOSl-RgCnz5JbH0YL-GQ5TZ9ZbRrvN4,Inori Minasea,597,377,353,True,False,False,False
46,GRANDMASTER,Y43YB6hfUeN1p8pRSNYrP3YWxZQNclTta8jScZ2-ifHOFtI,샤코대장노령진,394,351,315,False,False,False,False
47,GRANDMASTER,hoqwaNxR0n7naUOyhlnCplUbdegPq3UUNawLmrbisY2muOo,낫 납,359,190,166,False,False,True,False
48,GRANDMASTER,J2wcLnmEjii5VhKadv7EL1t2F0nzI8q5QSThRMWpmECkUmpXO-58BV6IHw,Xiamentop OwO ,399,195,154,False,False,True,False
49,GRANDMASTER,Wrd0V6TLcpGc_5yy5tobMzXrQraKubdoIya-geWxEozb5disEq5VURvRsg,shenzhenguanjia,473,677,630,False,False,True,False
50,GRANDMASTER,Du1866b1IhpF6O4fE2GuYCmjGtulMq_sDrrc3SbZYeZUBuw,ADD on win,386,132,112,False,False,False,False
51,GRANDMASTER,_mzRGkbWH0b6_Shr9lXTUPHRQfUzSIB8d3GtwFYyPTLfZ1U,SWHzzz,528,272,225,False,False,True,False
52,GRANDMASTER,w5dy4-iqooZdvwfdPeTLC6dUW3kAFQRVjQEYbBQinrSWCI4m5-hMXOI9ww,반갑다 코리아,676,211,149,False,False,True,False
53,GRANDMASTER,4bf2GgLt1Xdv0zpbDvLUoOXCM_yectJKFi6UmPJM6wXkAqk5sXNMOWFTcA,노상포뇨,397,163,104,False,False,True,False
54,GRANDMASTER,pIxEK0I67LFWxEsz8kTmnHhD5xkeu48iQjpYm4ZOcgDHSQ,외길인생 샤코,633,376,324,False,False,False,False
55,GRANDMASTER,c9M4ZQ0IH8X-GN-FOynR93wtodsz_4zwUymBQlLEtLA7uO4,Eurooo,508,205,183,False,False,False,True
56,GRANDMASTER,UIPpx-Vb5gupQadwzrvnZJDFOn8Ec6sqMj81pL9cndpmkK0,공부하기시러요,600,202,162,False,False,False,False
57,GRANDMASTER,3klr4V2xqxq1r-jaMRxJ60SMpfF3GUDl_wUnUmz4_TIZv90,이탈리야 전문점,511,264,235,True,False,False,False
58,GRANDMASTER,dgzb5MurX9Qcjsooh6Wl5ZFIYCeenbTUW7uLR_OOWEQOXI8,asdfgasdf,729,309,277,False,False,True,False
59,GRANDMASTER,aYEgf1ck1GX6LbHUVW62M4jeLFVktydBGnG0hxPVh7ebf-8,탱 녹,525,369,334,True,False,False,False
60,GRANDMASTER,KFxJx14IneEoWlME5Jv8WtJo1J_nPxx0iF9rGs6K9EPkZklmZZSWUkMjsA,yan hua y1 leng,473,634,588,True,False,False,True
61,GRANDMASTER,8uk3KXZHaZRL3vDmMYhelLj4y0XOW86zHH7Llli5cJXEVz8,돌아온호랑이,480,540,503,False,False,False,False
62,GRANDMASTER,_vciNzmdP6zhOZHehkEmOxo8c_7nUi50-RdmAzpRzP9dwCt7UHZIRAFiew,yangxue2,470,385,342,False,False,False,False
63,GRANDMASTER,75MaT0GY0_tDhzbQgw4lLwWmeRih1NMQu9YIk8uWXJXx7Q,구자룡,523,227,192,False,False,True,False
64,GRANDMASTER,IdJ7FMf-eBBQv7h7uVIGCdn8yP-wZuw3f7pLZ4J8WauSqkA,By 불비,400,331,316,False,False,False,False
65,GRANDMASTER,rWFM0momSP8Ynbgun0uyOP004GIvl3OTsMbCY3AySGoDqvg,FA 2003 ,570,313,284,False,False,True,False
66,GRANDMASTER,0ULAJsb0BscGHW9PD99YWx3CmCEMzSgO3DjbZ7vDPTNbV6M,달빛 여왕 럭스,608,140,101,False,False,False,False
67,GRANDMASTER,wq-CO8qF3x2VsbnAnNzXrXKRN-mC-ORTiIJPvH9RyjfCaEM,Rashom0n,474,346,299,True,False,False,False
68,GRANDMASTER,YTtXiHai7qHag0wELEbzYruJfNDEJXY5nEV-r9j2GYqG9BT6prBUMDvDGw,IRELKlNG,479,146,117,False,False,False,False
69,GRANDMASTER,k3Ny0_YIDXbSrk3Qh--LjVcHgjcQCS7xwVWmT7MxOKfITQ0,iiillilililiiiii,732,285,236,False,False,True,True
70,GRANDMASTER,8y3h38tQFoaJ2D0h4Quz2m2rEaWDgawNpF8UqlYxVA00oAgUNRUadAPXog,kamen rider zio,668,157,99,True,False,False,False
71,GRANDMASTER,fF9tBhCallISxr6PPWY2S2JC6_j31VP7Huc3SC3HczzFHtM,빙밍이,428,248,196,False,False,True,False
72,GRANDMASTER,maV6vJ24GHMx4esSlLGsZOjBTuotGaDETy5Ta8oanj6TKg,언니우기,653,403,373,True,False,False,False
73,GRANDMASTER,eiQkPx_DFxWXPM5sqnk2kce1CS5sIpxJoP0kbtMSrdIcQhk,나의 미안함,439,335,308,False,False,True,False
74,GRANDMASTER,VwzB2NOTBExqhUdz7q3Eos5TXQC6tNCVw8de3QwrOq5XVA,라 코,433,135,117,True,False,False,False
75,GRANDMASTER,W5lP5sogEo0IDk2Ieq-xRVa4I6kNHgquniFOstvENUNWGkAVFy1nwjlCrg,scy19980304,376,208,181,False,False,True,True
76,GRANDMASTER,ZZ_7VaPXTZBzXhZ63v8lzr5L7Wrj6hnbr3fj63gWswst8uM,Iove Baobob,429,436,410,False,False,True,False
77,GRANDMASTER,V8_eF3mOImOFKVNS_UFttOEZcE4CqiFRVIBRnLuKLz22clo,ku a men ,388,474,445,True,False,False,False
78,GRANDMASTER,XIxAHqaombXwWKLXFz_XWSQttnbc2i9D1y4lGj10X8EPtl0,flawles,522,373,337,False,False,True,True
79,GRANDMASTER,nZkB_pKXrYQ79QTjLB1_2ieqvfQX7CZn8wLXyz6WJ2kgxr4,Oct0ber,484,234,215,True,False,False,False
80,GRANDMASTER,zKOBXH-wL0b6hMI0MW3y4W0qAfnwVGyfQx1-MblxZAxAdmo,나는 개1,690,346,314,True,False,False,False
81,GRANDMASTER,pOF3w0L9JpO5Z1wb7Y-usZIkRUUnAFO9VWGKBmVRVWXx0VM,우준준,449,321,267,False,False,False,False
82,GRANDMASTER,oi9kovwT_ZjuWZrO5OBPnG9IvUoG2wQH20GI-EOOaE52TVs,Yurooo,406,190,158,False,False,True,True
83,GRANDMASTER,64Gv3a1m1ly6WgPEumbP5UKgTKT0xJ98wO0nQhtKzDTXvKI,띵커1,493,694,666,True,False,False,False
84,GRANDMASTER,6nyTcseShSY5EKtNxnJ2JfCMTmW94hJpMSyShertGGS6uEitWok0ZffVjA,겉만같다,529,161,118,False,False,False,False
85,GRANDMASTER,TNwFnYsESWtgih_3cdSgqdBiHkbLsyq_X0Ppn5nBpraRuWBmE4mn-tHJ3w,xiaolingdang,428,641,598,False,False,True,False
86,GRANDMASTER,Jrtr_zjmT58O8bEn6Z_TIJjHsWVGosrMiaHNJyRIVpRYpac,파 고,365,235,203,False,False,True,False
87,GRANDMASTER,L5tSYVXXREb38uTTt70h2yD2q97u8zYhFYyE-TfaYdDRqPq6CK3pEwupTQ,xue yue feng hua,545,675,600,True,False,False,False
88,GRANDMASTER,9Z_JUS-vKRplUIsFBIEIMuL8nSJgIN_TuqFyi8Oss_gPvIemiq65vaIxoQ,aimingdd,731,457,408,False,False,True,False
89,GRANDMASTER,rvpy9AOzKHlFTNrd_i5FS9RuW_THuHE5K-NgUvomQg1kSOLy,미드잘하는정글러,617,649,599,False,False,False,False
90,GRANDMASTER,fZ07FT5oolFuZFPeBKyyr3HcwNbBj2T_RD8RbPbLB1dBzyg,시간의 숲,472,142,111,False,False,False,False
91,GRANDMASTER,V6SbQ29oMJ-gt56u_q-b75Zl5SLv674ISpRFtI4-OvYpyP9kFxGYwuiadQ,jmin20114,444,256,208,True,False,False,True
92,GRANDMASTER,hjhZk9eeksWL908hFeH9-XvUynzn_S40LPv4nYSvOi6bd_U,도 일,542,480,444,False,False,False,False
93,GRANDMASTER,Vbpr3QE4U6-i0QbI-KF9Y0yiEwQSG6sVLDQ2wJxYtHHP7g,조광희,415,227,197,False,False,True,False
94,GRANDMASTER,4XFwUud5HgCIif5Kc0BAGd1j7VuQOcHTlKmJn9Lxlax2mFg,교육잘받은도구,624,192,168,False,False,True,False
